codigo,proveedor,archivo,estado,detalle,url
FIG-C2,ACEROS PEÑASCAL STA. LUCIA,FIG-C2.webp,skip,proveedor sin dominios oficiales configurados,
TERMP01,ACEROS PEÑASCAL STA. LUCIA,TERMP01.webp,skip,proveedor sin dominios oficiales configurados,
ANGD,ANITA DE LOS SANTOS DE LA ROSA,ANGD.webp,skip,proveedor sin dominios oficiales configurados,
ANGI,ANITA DE LOS SANTOS DE LA ROSA,ANGI.webp,skip,proveedor sin dominios oficiales configurados,
BOTONRFC,ANITA DE LOS SANTOS DE LA ROSA,BOTONRFC.webp,skip,proveedor sin dominios oficiales configurados,
CHAPLAME,ANITA DE LOS SANTOS DE LA ROSA,CHAPLAME.webp,skip,archivo existente,
ECLAZTE,ANITA DE LOS SANTOS DE LA ROSA,ECLAZTE.webp,skip,proveedor sin dominios oficiales configurados,
ECLCHFC,ANITA DE LOS SANTOS DE LA ROSA,ECLCHFC.webp,skip,proveedor sin dominios oficiales configurados,
FIGFCP/R,ANITA DE LOS SANTOS DE LA ROSA,FIGFCP-R.webp,skip,proveedor sin dominios oficiales configurados,
FIGFCR,ANITA DE LOS SANTOS DE LA ROSA,FIGFCR.webp,skip,archivo existente,
FIGFCUVA,ANITA DE LOS SANTOS DE LA ROSA,FIGFCUVA.webp,skip,archivo existente,
FIGFCP/R16,ANITA DE LOS SANTOS DE LA ROSA,FIGFCP-R16.webp,skip,proveedor sin dominios oficiales configurados,
FLORMARG,ANITA DE LOS SANTOS DE LA ROSA,FLORMARG.webp,skip,archivo existente,
GALLOFC,ANITA DE LOS SANTOS DE LA ROSA,GALLOFC.webp,skip,archivo existente,
HLIRA,ANITA DE LOS SANTOS DE LA ROSA,HLIRA.webp,skip,archivo existente,
JALALU,ANITA DE LOS SANTOS DE LA ROSA,JALALU.webp,skip,proveedor sin dominios oficiales configurados,
JALELECTROC,ANITA DE LOS SANTOS DE LA ROSA,JALELECTROC.webp,skip,archivo existente,
JAL-CLT,ANITA DE LOS SANTOS DE LA ROSA,JAL-CLT.webp,skip,archivo existente,
