"﻿""proveedor""",codigo,descripcion,categoria,tipo,medidas
ABASTECEDOR LEAL,COMP23LTBYP,COMPRESOR 2.5 HP 23 LTS BYP,Herramienta electrica,Herramienta electrica,
ABASTECEDOR LEAL,COMP60GALBYP,COMPRESOR 60 GAL. 3.2 HP VERTICAL BYP,Herramienta electrica,Herramienta electrica,
ABASTECEDOR LEAL,CORDEWALT,"CORTADORA DEWALT 14"" (D28720)",Herramienta electrica,Herramienta electrica,"14"""
ABASTECEDOR LEAL,CORDEW,"CORTADORA DEWALT DE 14"" 16 KGS ( 28730 )",Herramienta electrica,Herramienta electrica,"14"""
ABASTECEDOR LEAL,D48-40-4515,"DISCO MILWAKEE 8""",Soldadura y abrasivos,Abrasivos / Discos,"8"""
ABASTECEDOR LEAL,ESMDWE4887,"ESMERILADORA RECTA DE 1 1/2"" DEWALT (DWE4887)",Herramienta electrica,Herramienta electrica,"1 1/2"" 1/2"
ABASTECEDOR LEAL,06013A30G1,"MINI ESMERILADORA 4 1/2"" BOSCH  710 W (06013A30G1)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2"
ABASTECEDOR LEAL,DWE4315,"MINI ESMERILADORA 4 1/2"" DEWALT (DWE4315)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2"
ABASTECEDOR LEAL,MESM9557,"MINI ESMERILADORA 4""1/2 MAKITA 840 W 9557 HPG",Herramienta electrica,Herramienta electrica,"4"" 1/2"
ABASTECEDOR LEAL,"MESMBYD4""","MINI ESMERILADORA BLACK Y DECKER 4"" (G720-B3)",Herramienta electrica,Herramienta electrica,"4"""
ABASTECEDOR LEAL,MESMB1375,"MINI ESMERILADORA BOSCH 4 1/2""  670 W/710 W(1375)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2"
ABASTECEDOR LEAL,MESMM4010,"MINI ESMERILADORA DEWALT  4 1/2"" (4010)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2"
ABASTECEDOR LEAL,MESMD4020,"MINI ESMERILADORA DEWALT  4 1/2"" (4020)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2"
ABASTECEDOR LEAL,MESMD4120,"MINI ESMERILADORA DEWALT 4 1/2""(4120)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2"
ABASTECEDOR LEAL,MEMM41/29510,"MINI ESMERILADORA MAKITA 4 1/2"" ( M9510B )",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2"
ABASTECEDOR LEAL,MESM90B,"MINI ESMERILADORA MAKITA 4 1/2"" (MGA90B)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2"
ABASTECEDOR LEAL,MESM4530,"MINI ESMERILADORA MAKITA 4 1/2""DE 720 W (GA4530)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2"
ABASTECEDOR LEAL,PPC2200HC,PLANTA GENERADOR 2200 W 6.5 HP HONDA (PPC2200HC),Herramienta electrica,Herramienta electrica,
ABASTECEDOR LEAL,ROTMAKITA,"ROTOMARTILLO 5/8"" MAKITA ( M8100B ) 740W",Herramienta electrica,Herramienta electrica,"5/8"" 5/8"
ABASTECEDOR LEAL,SIERRADWE304,"SIERRA SABLE DEWALT 2.9KR 3.7 KG 1 1/8"" (DWE304)",Herramienta electrica,Herramienta electrica,"1 1/8"" 1/8"
ABASTECEDOR LEAL,SMER70S635,SOLD.INFRA  MICRO A. .035 15 KGS.,Soldadura,POR CLASIFICAR,
ABASTECEDOR LEAL,SOLD6010,"SOLDADURA 6010 1/8"" ESAB",Soldadura y abrasivos,Soldadura (consumibles),"6010 1/8"" 1/8"
ABASTECEDOR LEAL,SOLESAB70181/8,"SOLDADURA 7018 1/8"" ESAB",Soldadura y abrasivos,Soldadura (consumibles),"7018 1/8"" 1/8"
ABASTECEDOR LEAL,DWD210,"TALADRO 1/2"" DEWALT (DWD210G)",Herramienta electrica,Herramienta electrica,"1/2"" 1/2"
ABASTECEDOR LEAL,KC4815T,TALADRO ATORNILLADOR BLACK & DECKER 4.8V 1/4(KC481,Herramienta electrica,Herramienta electrica,1/4
