"﻿""proveedor""",codigo,descripcion,categoria
"ABRASIVOS ESPECIALES, S.A DE C.V",2462,LIQUIDO LIMPIADOR DE OXIDO 250 ML (2462),Pintura y químicos
"ABRASIVOS ESPECIALES, S.A DE C.V",2444,PASTA P/PULIR METALES 75 ML (2444),Pintura y químicos
"ACEROS CORSA, S.A DE C.V",CT13,"CARAMELO 1/2""",Perfiles estructurales
"ACEROS CORSA, S.A DE C.V",CT10,"CARAMELO 3/8""",Perfiles estructurales
"ACEROS CORSA, S.A DE C.V",CT16,"CARAMELO 5/8""",Perfiles estructurales
ACEROS PEÑASCAL STA. LUCIA,TERMP01,TERMINAL PASAMANOS 01,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,ESTCHFC,ESTRELLA CHICA FO.CO,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,ESTG,ESTRELLA GRANDE,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,GALLOFC,GALLO FO.CO (REYES-JUGA),"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,LUCHFC,LUNA CHICA FO.CO,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,LUMEDFC,LUNA MEDIANA FO CO,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,SOLCHFC,SOL CHICO FO. CO,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,SOLFCG,SOL GRANDE FO.CO ( 27 CM),"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,SOLMEDFC,SOL MEDIANO FO CO ( 20 CM),"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,TOCAPMAN,TOCA PUERTA (MANO),"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,TOCAPCH,TOCA PUERTAS CHICO 20 CM X 20 CM,"Herrería, forja y herrajes"
"ARTEFERRO MONTERREY, S,.A DE C.V",-643677,MARIPOSA CHICA  11X6.50 CM (CODIGO 137/9),"Herrería, forja y herrajes"
"ARTEFERRO MONTERREY, S,.A DE C.V",-643647,MARIPOSA GRANDE 17.50X12.50CM (CODIGO13710),"Herrería, forja y herrajes"
"ARTEFERRO MONTERREY, S,.A DE C.V",811/3/T,PASAMANOS DE  5.9 X 1.65 CM X 3.00MTS DE LARGO,"Herrería, forja y herrajes"
"ARTEFERRO MONTERREY, S,.A DE C.V",-401034,POSTE TERMINAL/ESCALERA C/DRAGON,Herramienta manual
"ARTEFERRO MONTERREY, S,.A DE C.V",377/40/T,TERMINAL/PASAMANOS (1377/40/T),"Herrería, forja y herrajes"
CASCAR INTERNATIONAL S. DE R.L DE C.V,BOTONB,BOTON BARROCO(R505)(REYES),"Herrería, forja y herrajes"
CASCAR INTERNATIONAL S. DE R.L DE C.V,PLATOGB612,"PLATO GIRATORIO P/BANCO 6 1/2"" X 6 1/2""","Herrería, forja y herrajes"
CASCAR INTERNATIONAL S. DE R.L DE C.V,PLATOGB8,"PLATO GIRATORIO P/BANCO 8"" X 8""","Herrería, forja y herrajes"
"CHAPA INDUSTRIAS, S.A DE C.V",CPTAD6752,CIERRA PUERTA DEXTER HIDRAU. 2 VALV AN 6752,"Herrería, forja y herrajes"
"CHAPA INDUSTRIAS, S.A DE C.V",CPTAD6753,CIERRA PUERTA DEXTER HIDRAU. 2 VALV AN 6753,"Herrería, forja y herrajes"
"CHAPA INDUSTRIAS, S.A DE C.V",FIJAPUERTA6868,FIJA PUERTAS DEXTER PATA DE CABRA NS(6868),"Herrería, forja y herrajes"
"CHAPA INDUSTRIAS, S.A DE C.V",MIR-6415,MIRILLA DEXTER 160°PARA PUERTA 1/2 LB(6415),"Herrería, forja y herrajes"
"CHAPA INDUSTRIAS, S.A DE C.V",MIR-6416,MIRILLA DEXTER 180 PARA PUERTA  9/16 LB(6416),"Herrería, forja y herrajes"
"CHAPA INDUSTRIAS, S.A DE C.V",MIR-6418,MIRILLA DEXTER 180°PARA PUERTA 9/16 NS(6418),"Herrería, forja y herrajes"
"CHAPA INDUSTRIAS, S.A DE C.V",TOPE6412,TOPE DEXTER MAGNETICO NS (6412),"Herrería, forja y herrajes"
"CHAPA INDUSTRIAS, S.A DE C.V",TOPE6865,TOPE DEXTER RECTO P/PARED  O PTA.NS6865,"Herrería, forja y herrajes"
"CHAPA INDUSTRIAS, S.A DE C.V",TOPE6859,TOPE DEXTER TIPO DOMO DE PISO NS(6859),"Herrería, forja y herrajes"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V",BIGOT-013,"BIGOTE 1/4"" X 1/2"" 7.0 X 11.0 CM",Perfiles estructurales
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V",BIGOT-016,"BIGOTE 1/8"" X 1/2"" 7.0 X 11.00 CM",Perfiles estructurales
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V",PIE-ENC,PIEDRA P/ENCENDEDOR,Abrasivos y discos
"FERRETERA CANTABRIA, S.A DE C.V",SM6,"SUJETADOR MARIPOSA 1/4""","Herrería, forja y herrajes"
"FERRETERA CANTABRIA, S.A DE C.V",SM5,"SUJETADOR MARIPOSA 3/16""","Herrería, forja y herrajes"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",AAWD40,ACEITE AFLOJATODO WD.40 (000646),Pintura y químicos
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",AFLOJA,AFLOJA TODO 300GR. PERMATEK(030813),Pintura y químicos
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CINAIS,CINTA AISLAR NEGRA 18 MTS COHESA(000815)-2229,Pintura y químicos
