cod,nom,foto,medida_raw,medida_px,factor,lado_destino,estado,detalle
DWE4315,"MINI ESMERILADORA 4 1/2"" DEWALT (DWE4315)",DWE4315.webp,"4 1/2""",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
MESMM4010,"MINI ESMERILADORA DEWALT  4 1/2"" (4010)",MESMM4010.webp,"4 1/2""",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
MESMD4020,"MINI ESMERILADORA DEWALT  4 1/2"" (4020)",MESMD4020.webp,"4 1/2"" 1/2",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
MESMD4120,"MINI ESMERILADORA DEWALT 4 1/2""(4120)",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/MESMD4120-1785145416575.webp,"4 1/2"" 1/2",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/MESMD4120-1785145416575.webp
MEMM41/29510,"MINI ESMERILADORA MAKITA 4 1/2"" ( M9510B )",MEMM41-29510.webp,"4 1/2"" 1/2",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
MESM90B,"MINI ESMERILADORA MAKITA 4 1/2"" (MGA90B)",MESM90B.webp,"4 1/2"" 1/2",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
SOLD6010,"SOLDADURA 6010 1/8"" ESAB",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/SOLD6010-1785305724860.webp,"6010 1/8"" 1/8",6010.0,0.9254,647,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/SOLD6010-1785305724860.webp
SOLESAB70181/8,"SOLDADURA 7018 1/8"" ESAB",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/SOLESAB70181-8-1785364173548.webp,"7018 1/8"" 1/8",7018.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/SOLESAB70181-8-1785364173548.webp
D2006,"DISCO 2006 P/CORTE 4 1/2""",D2006.webp,"4 1/2""",4.0,0.5345,374,ok,Guardado con lado_destino=374px (factor=0.5345)
D554,"DISCO 554 P/CORTE 7""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D554-1785148340425.webp,"7""",7.0,0.7071,494,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D554-1785148340425.webp
