codigo,descripcion,categoria,archivo_foto
LEONFC,LEON FO. CO,Forja artistica,LEONFC.webp
E4471,INOX CURVA REGULABLE SATIN. E4471,Acero (barra y placa),E4471.webp
CAND6946,CANDADO DEXTER  DE COMBINACION 6946,Herramienta manual,CAND6946.webp
CBR2,CHAPA KOVAC 800 LIBRE DER..(CBR2),Herrajes,CBR2.webp
CORBOSCH,CORTADORA BOSCH ( GCO2000),Herramienta electrica,CORBOSCH.webp
MANCOMIZQ,MANIJA COMBINADA BCE. P/VENT.IZQ,Herrajes,MANCOMIZQ.webp
DUE2X1.05,DUELA Z. CASCADA 2X1.05  C-22,Lamina y cubiertas,DUE2X1-05.webp
BIBELMEDLIGHT,BIBEL MEDIANO LIGHT (VARGAS),Herrajes,BIBELMEDLIGHT.webp
CAR-EWHM44,CARETA ELECTRONICA ALIEN,Seguridad (EPP),CAR-EWHM44.webp
PLABUAL,PLACA PARA BUZON DE ALUMINIO,Acero (barra y placa),PLABUAL.webp
CA-0,JGO.CARBON P/DESB.TRUPER.CA-0,Herramienta manual,CA-0.webp
BAF150,"BARRETA HEX. 1"" X 1,50 MTS SURTEK (BAF150)",Herramienta manual,BAF150.webp
120350,"LIMA BASTARDA REDONDA 4"" SURTEK (120350)",Herramienta manual,120350.webp
DUELAZ3X91.5,DUELA AZTECA 3 X 91.5 CM ZINTRO,Lamina y cubiertas,DUELAZ3X91-5.webp
DUELZ11X2.44R,DUELA ZINTRO DE 11 X 2.44 REDONDA C.22,Lamina y cubiertas,DUELZ11X2-44R.webp
DUE14X10SQ,DUELA ZINTRO DE 14 X 3.05 SQ,Lamina y cubiertas,DUE14X10SQ.webp
DUELZ4X91.5R,DUELA ZINTRO DE 4 X 91.5 REDONDA C.22,Lamina y cubiertas,DUELZ4X91-5R.webp
DUE5X1.05SQ,DUELA ZINTRO DE 5 X 1.05 SQ,Lamina y cubiertas,DUE5X1-05SQ.webp
DUELZ5X1.83,DUELA ZINTRO DE 5 X 1.83 RED. COMBINADA,Lamina y cubiertas,DUELZ5X1-83.webp
DUELZ8X1.83R,DUELA ZINTRO DE 8 X1.83 REDONDA C.22,Lamina y cubiertas,DUELZ8X1-83R.webp
