tipo,codigo,medida_actual,medida_propuesta,arreglos,nombre
"DECIDIR","124","1/2"" X  1"" 1/8""","1/2"" X  1"" 1/8""","","LIMA ROTATIVA 124 1/2"" X 1""1/8"""
"DECIDIR","CANAL150","6"" 6.10 MTS","6"" 6.10 MTS","","CANAL ""U ""6"" 6.10 m (12.2 KG/MT)"
"DECIDIR","CANALU75-5.3KG/MTS","3"" 6.10 MTS","3"" 6.10 MTS","","CANAL ""U"" 3"" 6.10 m (5.30KG/MTS)"
"DECIDIR","CANALU75","3"" 6.10 MTS","3"" 6.10 MTS","","CANAL ""U"" 3"" 6.10 m (6.03 KG/ML)"
"DECIDIR","CANALUL","4"" 6.10 MTS","4"" 6.10 MTS","","CANAL ""U"" 4"" 6.10 MTS.(6.70 KG/ML)"
"DECIDIR","CANALU100","4"" 6.10 MTS","4"" 6.10 MTS","","CANAL ""U"" 4"" 6.10 MTS.(8.19 KG/ML)"
"DECIDIR","CANALU","6"" 6.10 MTS","6"" 6.10 MTS","","CANAL ""U"" 6"" (15.63KG./MTS)"
"DECIDIR","SOL3X32","1 1/4"" 8 X 1 1/8 1/4","1 1/4"" 8 X 1 1/8 1/4","","SOLERA 1/8 X 1 1/4"""
"DECIDIR","SOL5X64","3/16"" X 2""1/2","3/16"" X 2""1/2","","SOLERA 3/16"" X 2""1/2"
"DECIDIR","MEDEGDE2","45.50 CM 26 CM","45.50 CM 26 CM","","MEDALLON GRANDE (45.50 CM X 26 CM)"
"DECIDIR","RAUVA2","7.50X8 8CM","7.50X8 8CM","","RACIMO DE UVAS C/HOJA CH.(7.50X8CM)"
"DECIDIR","RAUVA1","8.50X10 10CM","8.50X10 10CM","","RACIMO DE UVAS C/HOJA GDE.(8.50X10CM)"
"DECIDIR","118/H/2","1.2X1.2 CM 90CM","1.2X1.2 CM 90CM","","BARROTE CUADRADO 1.2X1.2 CM ALTO 90CM (118/H/2)"
"DECIDIR","-652655","1.10 MTS 113/2","1.10 MTS 113/2","","BARROTE FORJADO C/PIÑA ALTO 1.10 MTS(COD113/2)"
"DECIDIR","-451378","4X4 4CM","4X4 4CM","","COROLA 4X4CM"
"DECIDIR","CM13","1/2"" 6MT","1/2"" 6MT","","CUADRADO MARTILLADO  1/2"" DE 6MT. ART.118/1/6000"
"DECIDIR","-642612","3.9 CM 1 CM","3.9 CM 1 CM","","HOJA CHAPA 3.9 CM D. 1 CM ALTO"
"DECIDIR","E0042","42.4MM X 2MM X 1M","42.4MM X 2MM X 1M","","INOX POSTE  42.4MM X2MM X 1M"
"DECIDIR","E001","42.4 X 2 2MM 3 M","42.4 X 2 2MM 3 M","","INOX TUBO INOX 42.4 X 2MM X 3 M E001"
"DECIDIR","E005","12MM 3 MT","12MM 3 MT","","INOX VARILLA 12MM X 3 MT E005"
"DECIDIR","-643677","11X6.50 6.50 CM 137/9","11X6.50 6.50 CM 137/9","","MARIPOSA CHICA  11X6.50 CM (CODIGO 137/9)"
"DECIDIR","-643647","17.50X12.50 12.50CM","17.50X12.50 12.50CM","","MARIPOSA GRANDE 17.50X12.50CM (CODIGO13710)"
"DECIDIR","811/3/T","5.9 X 1.65 1.65 CM 3.00MTS","5.9 X 1.65 1.65 CM 3.00MTS","","PASAMANOS DE  5.9 X 1.65 CM X 3.00MTS DE LARGO"
"DECIDIR","-321412","59CM 1020/1","59CM 1020/1","","ROSETA CON ARO EN EL CENTRO DIA 59CM (COD-1020/1)"
"DECIDIR","-24014","05 CM 3 MTS","05 CM 3 MTS","","SOLERA DECORADA DE 3.1 X .05 CM DE 3 MTS."
