"﻿""proveedor""",codigo,descripcion,categoria
ANITA DE LOS SANTOS DE LA ROSA,CABALLITO,CABALLITO DE MAR,
ANITA DE LOS SANTOS DE LA ROSA,JINETEFC,JINETE FO.CO,
ANITA DE LOS SANTOS DE LA ROSA,LEONBM,LEON BRONCE MEDIANO,
ANITA DE LOS SANTOS DE LA ROSA,LEONFC,LEON FO. CO,
ANITA DE LOS SANTOS DE LA ROSA,RAUVAD,RACIMO DE UVA DOBLE 10X9,
ANITA DE LOS SANTOS DE LA ROSA,CORONA,REMATE CORONA,
"ARTEFERRO MONTERREY, S,.A DE C.V",-451378,COROLA 4X4CM,
"ARTEFERRO MONTERREY, S,.A DE C.V",53479,ELEMENTO BALCONES MARTILLADO DE 80 CM,
"ARTEFERRO MONTERREY, S,.A DE C.V",140/H/2,RACIMO DE UVAS CHICO,
"ARTEFERRO MONTERREY, S,.A DE C.V",140/H/1,RACIMO DE UVAS GRANDES,
"ARTEFERRO MONTERREY, S,.A DE C.V",-181099,TERMINAL/POSTE DIAM7CM ALTO 10CM ART1404/3,
CASCAR INTERNATIONAL S. DE R.L DE C.V,ADOROVALO,ADORNO COLONIAL R600 OVALO VENECIA,
CASCAR INTERNATIONAL S. DE R.L DE C.V,ADORNOC,ADORNO CULEBRA (R600),
CASCAR INTERNATIONAL S. DE R.L DE C.V,CRUZE,CRUZ ESPAÑOLA CHICA (R910),
CASCAR INTERNATIONAL S. DE R.L DE C.V,CRUZR,CRUZ ROMANA GDE. (R915),
CASCAR INTERNATIONAL S. DE R.L DE C.V,ALCHIALUM,FIG. ALCATRAS CHICO DE ALUMINIO,
CASCAR INTERNATIONAL S. DE R.L DE C.V,ALCGALU,FIG. ALCATRAS GRANDE DE ALUM.,
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V",FLODE007,MARGARITA,
"FERREBASTONES CHOLULA, S.A DE C.V",X-1100C,CERR.D/SEG ADIC TETRA X-1100 CROM (571 ),
"FERRETERA CANTABRIA, S.A DE C.V",ENCCAZ,ENCENDEDOR TIPO CAZUELA N-113-A,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROQM194041.7,BROQUERO  MAKITA C/ADAP. SDS 194041.7,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CAR3M6001,CARTUCHO P/VAPORES ORGAN. 3M MOD. 6001,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CIZALLAJS3201,CIZALLA P/METAL MAKITA 710 W JS3201(039647),
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",FILTRON95-3M,FILTRO N95 3M (5N11),
