codigo,descripcion,categoria,archivo_foto
COMP23LTBYP,COMPRESOR 2.5 HP 23 LTS BYP,Herramienta electrica,COMP23LTBYP.webp
COMP60GALBYP,COMPRESOR 60 GAL. 3.2 HP VERTICAL BYP,Herramienta electrica,COMP60GALBYP.webp
CORDEWALT,"CORTADORA DEWALT 14"" (D28720)",Herramienta electrica,CORDEWALT.webp
CORDEW,"CORTADORA DEWALT DE 14"" 16 KGS ( 28730 )",Herramienta electrica,CORDEW.webp
D48-40-4515,"DISCO MILWAKEE 8""",Soldadura y abrasivos,D48-40-4515.webp
ESMDWE4887,"ESMERILADORA RECTA DE 1 1/2"" DEWALT (DWE4887)",Herramienta electrica,ESMDWE4887.webp
06013A30G1,"MINI ESMERILADORA 4 1/2"" BOSCH  710 W (06013A30G1)",Herramienta electrica,06013A30G1.webp
DWE4315,"MINI ESMERILADORA 4 1/2"" DEWALT (DWE4315)",Herramienta electrica,DWE4315.webp
MESM9557,"MINI ESMERILADORA 4""1/2 MAKITA 840 W 9557 HPG",Herramienta electrica,MESM9557.webp
"MESMBYD4""","MINI ESMERILADORA BLACK Y DECKER 4"" (G720-B3)",Herramienta electrica,MESMBYD4.webp
MESMB1375,"MINI ESMERILADORA BOSCH 4 1/2""  670 W/710 W(1375)",Herramienta electrica,MESMB1375.webp
MESMM4010,"MINI ESMERILADORA DEWALT  4 1/2"" (4010)",Herramienta electrica,MESMM4010.webp
MESMD4020,"MINI ESMERILADORA DEWALT  4 1/2"" (4020)",Herramienta electrica,MESMD4020.webp
MESMD4120,"MINI ESMERILADORA DEWALT 4 1/2""(4120)",Herramienta electrica,MESMD4120.webp
MEMM41/29510,"MINI ESMERILADORA MAKITA 4 1/2"" ( M9510B )",Herramienta electrica,MEMM41-29510.webp
MESM90B,"MINI ESMERILADORA MAKITA 4 1/2"" (MGA90B)",Herramienta electrica,MESM90B.webp
MESM4530,"MINI ESMERILADORA MAKITA 4 1/2""DE 720 W (GA4530)",Herramienta electrica,MESM4530.webp
PPC2200HC,PLANTA GENERADOR 2200 W 6.5 HP HONDA (PPC2200HC),Herramienta electrica,PPC2200HC.webp
ROTMAKITA,"ROTOMARTILLO 5/8"" MAKITA ( M8100B ) 740W",Herramienta electrica,ROTMAKITA.webp
SIERRADWE304,"SIERRA SABLE DEWALT 2.9KR 3.7 KG 1 1/8"" (DWE304)",Herramienta electrica,SIERRADWE304.webp
SMER70S635,SOLD.INFRA  MICRO A. .035 15 KGS.,Soldadura,SMER70S635.webp
SOLD6010,"SOLDADURA 6010 1/8"" ESAB",Soldadura y abrasivos,SOLD6010.webp
SOLESAB70181/8,"SOLDADURA 7018 1/8"" ESAB",Soldadura y abrasivos,SOLESAB70181-8.webp
DWD210,"TALADRO 1/2"" DEWALT (DWD210G)",Herramienta electrica,DWD210.webp
KC4815T,TALADRO ATORNILLADOR BLACK & DECKER 4.8V 1/4(KC481,Herramienta electrica,KC4815T.webp
TALDB113D,"TALADRO ROTOMARTILLO 1/2"" BOSCH 600W 113D",Herramienta electrica,TALDB113D.webp
TALDDEWAL,"TALADRO ROTOMARTILLO 1/2"" DEWALT ( DCD7781D2) 20V",Herramienta electrica,TALDDEWAL.webp
TALD-024,"TALADRO ROTOMARTILLO 1/2"" DEWALT 650 W ( D024)",Herramienta electrica,TALD-024.webp
TALDMHP1640,"TALADRO ROTOMARTILLO 1/2"" MAKITA 680W HP1640",Herramienta electrica,TALDMHP1640.webp
TALDMHP80B,"TALADRO ROTOMARTILLO 1/2"" MAKITA SSP MHP80B M0801G",Herramienta electrica,TALDMHP80B.webp
M0801B,"TALADRO ROTOMARTILLO 5/8"" MAKITRA 570 W ( M0801B)",Herramienta electrica,M0801B.webp
TALDBOSCH,"TALADRO ROTOMARTILLO BOSCH 1/2"" ( 123D5G0)",Herramienta electrica,TALDBOSCH.webp
TAL-DEWALT1/2,"TALADRO ROTOMARTILLO DEWALT 1/2"" DW508S(1655)",Herramienta electrica,TAL-DEWALT1-2.webp
TALD-25260K,"TALADRO ROTOMARTILLO SDS PLUS 1"" (D2560K)",Herramienta electrica,TALD-25260K.webp
DW130,"TALADRO TIPO ESPADA 5/8"" DEWALT (DW130V)",Herramienta electrica,DW130.webp
