"proveedor","codigo","descripcion"
"ABASTECEDOR LEAL","SMER70S635","SOLD.INFRA  MICRO A. .035 15 KGS."
"ABRASIVOS ESPECIALES, S.A DE C.V","2462","LIQUIDO LIMPIADOR DE OXIDO 250 ML (2462)"
"ABRASIVOS ESPECIALES, S.A DE C.V","2444","PASTA P/PULIR METALES 75 ML (2444)"
"ACEROS CORSA, S.A DE C.V","CT13","CARAMELO 1/2"""
"ACEROS CORSA, S.A DE C.V","CT10","CARAMELO 3/8"""
"ACEROS CORSA, S.A DE C.V","CT16","CARAMELO 5/8"""
"ACEROS PEÑASCAL STA. LUCIA","TERMP01","TERMINAL PASAMANOS 01"
"ANITA DE LOS SANTOS DE LA ROSA","ANGD","ANGEL FO.CO DERECHO"
"ANITA DE LOS SANTOS DE LA ROSA","ANGI","ANGEL FO.CO IZQUIERDO"
"ANITA DE LOS SANTOS DE LA ROSA","BOTONRFC","BOTON DE ROSA FO.CO"
"ANITA DE LOS SANTOS DE LA ROSA","CABALLITO","CABALLITO DE MAR"
"ANITA DE LOS SANTOS DE LA ROSA","ESTCHFC","ESTRELLA CHICA FO.CO"
"ANITA DE LOS SANTOS DE LA ROSA","ESTG","ESTRELLA GRANDE"
"ANITA DE LOS SANTOS DE LA ROSA","FALC1","FLOR DE ALCATRAZ S/ TALLO CH."
"ANITA DE LOS SANTOS DE LA ROSA","FLORMARG","FLOR DE MARGARITA"
"ANITA DE LOS SANTOS DE LA ROSA","GALLOFC","GALLO FO.CO (REYES-JUGA)"
"ANITA DE LOS SANTOS DE LA ROSA","HERRCH","HERRADURA CHICA FO.FO( 15 L X 13 A )"
"ANITA DE LOS SANTOS DE LA ROSA","HERRGDE","HERRADURA GRANDE FO.CO.(45 L X  42 A )"
"ANITA DE LOS SANTOS DE LA ROSA","JINETEFC","JINETE FO.CO"
"ANITA DE LOS SANTOS DE LA ROSA","LEONBM","LEON BRONCE MEDIANO"
"ANITA DE LOS SANTOS DE LA ROSA","LEONFC","LEON FO. CO"
"ANITA DE LOS SANTOS DE LA ROSA","LUCHFC","LUNA CHICA FO.CO"
"ANITA DE LOS SANTOS DE LA ROSA","LUMEDFC","LUNA MEDIANA FO CO"
"ANITA DE LOS SANTOS DE LA ROSA","MEDACH","MEDALLON CHICO"
"ANITA DE LOS SANTOS DE LA ROSA","MEDAGDE","MEDALLON GRANDE"
"ANITA DE LOS SANTOS DE LA ROSA","MEDEGDE2","MEDALLON GRANDE (45.50 CM X 26 CM)"
"ANITA DE LOS SANTOS DE LA ROSA","RAUVAD","RACIMO DE UVA DOBLE 10X9"
"ANITA DE LOS SANTOS DE LA ROSA","CORONA","REMATE CORONA"
"ANITA DE LOS SANTOS DE LA ROSA","SOLCHFC","SOL CHICO FO. CO"
"ANITA DE LOS SANTOS DE LA ROSA","SOLFCG","SOL GRANDE FO.CO ( 27 CM)"
"ANITA DE LOS SANTOS DE LA ROSA","SOLMEDFC","SOL MEDIANO FO CO ( 20 CM)"
"ANITA DE LOS SANTOS DE LA ROSA","TOCAPMAN","TOCA PUERTA (MANO)"
"ANITA DE LOS SANTOS DE LA ROSA","TOCAPCH","TOCA PUERTAS CHICO 20 CM X 20 CM"
"ARTEFERRO MONTERREY, S,.A DE C.V","-383808","BUZON ROJO ARTEFERRO 25.5X40.50 ART.849/3"
"ARTEFERRO MONTERREY, S,.A DE C.V","-451378","COROLA 4X4CM"
"ARTEFERRO MONTERREY, S,.A DE C.V","53479","ELEMENTO BALCONES MARTILLADO DE 80 CM"
"ARTEFERRO MONTERREY, S,.A DE C.V","-643677","MARIPOSA CHICA  11X6.50 CM (CODIGO 137/9)"
"ARTEFERRO MONTERREY, S,.A DE C.V","-643647","MARIPOSA GRANDE 17.50X12.50CM (CODIGO13710)"
"ARTEFERRO MONTERREY, S,.A DE C.V","811/3/T","PASAMANOS DE  5.9 X 1.65 CM X 3.00MTS DE LARGO"
"ARTEFERRO MONTERREY, S,.A DE C.V","-401034","POSTE TERMINAL/ESCALERA C/DRAGON"
"ARTEFERRO MONTERREY, S,.A DE C.V","140/H/2","RACIMO DE UVAS CHICO"
"ARTEFERRO MONTERREY, S,.A DE C.V","140/H/1","RACIMO DE UVAS GRANDES"
"ARTEFERRO MONTERREY, S,.A DE C.V","377/40/T","TERMINAL/PASAMANOS (1377/40/T)"
"ARTEFERRO MONTERREY, S,.A DE C.V","-181099","TERMINAL/POSTE DIAM7CM ALTO 10CM ART1404/3"
"CASCAR INTERNATIONAL S. DE R.L DE C.V","ADOROVALO","ADORNO COLONIAL R600 OVALO VENECIA"
"CASCAR INTERNATIONAL S. DE R.L DE C.V","ADORNOC","ADORNO CULEBRA (R600)"
"CASCAR INTERNATIONAL S. DE R.L DE C.V","BOTONB","BOTON BARROCO(R505)(REYES)"
"CASCAR INTERNATIONAL S. DE R.L DE C.V","CRUZE","CRUZ ESPAÑOLA CHICA (R910)"
"CASCAR INTERNATIONAL S. DE R.L DE C.V","CRUZR","CRUZ ROMANA GDE. (R915)"
"CASCAR INTERNATIONAL S. DE R.L DE C.V","ALCHIALUM","FIG. ALCATRAS CHICO DE ALUMINIO"
"CASCAR INTERNATIONAL S. DE R.L DE C.V","ALCGALU","FIG. ALCATRAS GRANDE DE ALUM."
"CASCAR INTERNATIONAL S. DE R.L DE C.V","PLATOGB612","PLATO GIRATORIO P/BANCO 6 1/2"" X 6 1/2"""
"CASCAR INTERNATIONAL S. DE R.L DE C.V","PLATOGB8","PLATO GIRATORIO P/BANCO 8"" X 8"""
"CHAPA INDUSTRIAS, S.A DE C.V","CPTAD6752","CIERRA PUERTA DEXTER HIDRAU. 2 VALV AN 6752"
"CHAPA INDUSTRIAS, S.A DE C.V","CPTAD6753","CIERRA PUERTA DEXTER HIDRAU. 2 VALV AN 6753"
"CHAPA INDUSTRIAS, S.A DE C.V","FIJAPUERTA6868","FIJA PUERTAS DEXTER PATA DE CABRA NS(6868)"
"CHAPA INDUSTRIAS, S.A DE C.V","MIR-6415","MIRILLA DEXTER 160°PARA PUERTA 1/2 LB(6415)"
"CHAPA INDUSTRIAS, S.A DE C.V","MIR-6416","MIRILLA DEXTER 180 PARA PUERTA  9/16 LB(6416)"
"CHAPA INDUSTRIAS, S.A DE C.V","MIR-6418","MIRILLA DEXTER 180°PARA PUERTA 9/16 NS(6418)"
"CHAPA INDUSTRIAS, S.A DE C.V","TOPE6412","TOPE DEXTER MAGNETICO NS (6412)"
"CHAPA INDUSTRIAS, S.A DE C.V","TOPE6865","TOPE DEXTER RECTO P/PARED  O PTA.NS6865"
"CHAPA INDUSTRIAS, S.A DE C.V","TOPE6859","TOPE DEXTER TIPO DOMO DE PISO NS(6859)"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","BIGOT-013","BIGOTE 1/4"" X 1/2"" 7.0 X 11.0 CM"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","BIGOT-016","BIGOTE 1/8"" X 1/2"" 7.0 X 11.00 CM"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","FLODE007","MARGARITA"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","PIE-ENC","PIEDRA P/ENCENDEDOR"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","RIZO014","RIZO"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","RIZO011","RIZO DE 1/4 X 1/2"" 6 X 15.5 CMS"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","RIZO013","RIZO DE 1/4 X 1/2"" 7.6 X 19 CMS"
"ESAB MEXICO, S.A DE C.V","SOLESAB15K","SOLD.ESAB  MICRO A. .035 15 KGS."
"ESAB MEXICO, S.A DE C.V","SOLESAB10LB","SOLD.MICRO A.TUB.  .035 (10 LB/4.54 KGS)ESAB"
"FERREBASTONES CHOLULA, S.A DE C.V","X-1100C","CERR.D/SEG ADIC TETRA X-1100 CROM (571 )"
"FERRETERA CANTABRIA, S.A DE C.V","ENCCAZ","ENCENDEDOR TIPO CAZUELA N-113-A"
"FERRETERA CANTABRIA, S.A DE C.V","SM6","SUJETADOR MARIPOSA 1/4"""
"FERRETERA CANTABRIA, S.A DE C.V","SM5","SUJETADOR MARIPOSA 3/16"""
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","AAWD40","ACEITE AFLOJATODO WD.40 (000646)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","AFLOJA","AFLOJA TODO 300GR. PERMATEK(030813)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROQM194041.7","BROQUERO  MAKITA C/ADAP. SDS 194041.7"
