"fila","proveedor","codigo","descripcion","existencia"
"1","ABASTECEDOR LEAL","COMP23LTBYP","COMPRESOR 2.5 HP 23 LTS BYP","0"
"2","ABASTECEDOR LEAL","COMP60GALBYP","COMPRESOR 60 GAL. 3.2 HP VERTICAL BYP","0"
"3","ABASTECEDOR LEAL","CORDEWALT","CORTADORA DEWALT 14"" (D28720)","0"
"4","ABASTECEDOR LEAL","CORDEW","CORTADORA DEWALT DE 14"" 16 KGS ( 28730 )","0"
"5","ABASTECEDOR LEAL","D48-40-4515","DISCO MILWAKEE 8""","0"
"6","ABASTECEDOR LEAL","ESMDWE4887","ESMERILADORA RECTA DE 1 1/2"" DEWALT (DWE4887)","0"
"7","ABASTECEDOR LEAL","06013A30G1","MINI ESMERILADORA 4 1/2"" BOSCH  710 W (06013A30G1)","0"
"8","ABASTECEDOR LEAL","DWE4315","MINI ESMERILADORA 4 1/2"" DEWALT (DWE4315)","0"
"9","ABASTECEDOR LEAL","MESM9557","MINI ESMERILADORA 4""1/2 MAKITA 840 W 9557 HPG","0"
"10","ABASTECEDOR LEAL","MESMBYD4""","MINI ESMERILADORA BLACK Y DECKER 4"" (G720-B3)","0"
"11","ABASTECEDOR LEAL","MESMB1375","MINI ESMERILADORA BOSCH 4 1/2""  670 W/710 W(1375)","0"
"12","ABASTECEDOR LEAL","MESMM4010","MINI ESMERILADORA DEWALT  4 1/2"" (4010)","1"
"13","ABASTECEDOR LEAL","MESMD4020","MINI ESMERILADORA DEWALT  4 1/2"" (4020)","0"
"14","ABASTECEDOR LEAL","MESMD4120","MINI ESMERILADORA DEWALT 4 1/2""(4120)","0"
"15","ABASTECEDOR LEAL","MEMM41/29510","MINI ESMERILADORA MAKITA 4 1/2"" ( M9510B )","0"
"16","ABASTECEDOR LEAL","MESM90B","MINI ESMERILADORA MAKITA 4 1/2"" (MGA90B)","0"
"17","ABASTECEDOR LEAL","MESM4530","MINI ESMERILADORA MAKITA 4 1/2""DE 720 W (GA4530)","0"
"18","ABASTECEDOR LEAL","PPC2200HC","PLANTA GENERADOR 2200 W 6.5 HP HONDA (PPC2200HC)","0"
"19","ABASTECEDOR LEAL","ROTMAKITA","ROTOMARTILLO 5/8"" MAKITA ( M8100B ) 740W","0"
"20","ABASTECEDOR LEAL","SIERRADWE304","SIERRA SABLE DEWALT 2.9KR 3.7 KG 1 1/8"" (DWE304)","0"
"21","ABASTECEDOR LEAL","SMER70S635","SOLD.INFRA  MICRO A. .035 15 KGS.","0"
"22","ABASTECEDOR LEAL","SOLD6010","SOLDADURA 6010 1/8"" ESAB","0"
"23","ABASTECEDOR LEAL","SOLESAB70181/8","SOLDADURA 7018 1/8"" ESAB","0"
"24","ABASTECEDOR LEAL","DWD210","TALADRO 1/2"" DEWALT (DWD210G)","0"
"25","ABASTECEDOR LEAL","KC4815T","TALADRO ATORNILLADOR BLACK & DECKER 4.8V 1/4(KC481","0"
"26","ABASTECEDOR LEAL","TALDB113D","TALADRO ROTOMARTILLO 1/2"" BOSCH 600W 113D","0"
"27","ABASTECEDOR LEAL","TALDDEWAL","TALADRO ROTOMARTILLO 1/2"" DEWALT ( DCD7781D2) 20V","0"
"28","ABASTECEDOR LEAL","TALD-024","TALADRO ROTOMARTILLO 1/2"" DEWALT 650 W ( D024)","0"
"29","ABASTECEDOR LEAL","TALDMHP1640","TALADRO ROTOMARTILLO 1/2"" MAKITA 680W HP1640","0"
"30","ABASTECEDOR LEAL","TALDMHP80B","TALADRO ROTOMARTILLO 1/2"" MAKITA SSP MHP80B M0801G","0"
"31","ABASTECEDOR LEAL","M0801B","TALADRO ROTOMARTILLO 5/8"" MAKITRA 570 W ( M0801B)","0"
"32","ABASTECEDOR LEAL","TALDBOSCH","TALADRO ROTOMARTILLO BOSCH 1/2"" ( 123D5G0)","0"
"33","ABASTECEDOR LEAL","TAL-DEWALT1/2","TALADRO ROTOMARTILLO DEWALT 1/2"" DW508S(1655)","0"
"34","ABASTECEDOR LEAL","TALD-25260K","TALADRO ROTOMARTILLO SDS PLUS 1"" (D2560K)","0"
"35","ABASTECEDOR LEAL","DW130","TALADRO TIPO ESPADA 5/8"" DEWALT (DW130V)","0"
"37","ABRASIVOS ESPECIALES, S.A DE C.V","2888","CARDA COPA DE 4 3/4""  2888 TRENZADA","0"
"38","ABRASIVOS ESPECIALES, S.A DE C.V","2898","CARDA COPA TRENZADA 3""  (2898)","0"
"39","ABRASIVOS ESPECIALES, S.A DE C.V","2899","CARDA COPA TRENZADA 3"" M14 (2899)","0"
"40","ABRASIVOS ESPECIALES, S.A DE C.V","2843","CARDA COPA TRENZADA 5""  DE 5/8"" (2843)","0"
"41","ABRASIVOS ESPECIALES, S.A DE C.V","2885","CARDA TIPO DISCO DE 4""  2885  TRENZADA","0"
"42","ABRASIVOS ESPECIALES, S.A DE C.V","D162","DISCO 162 DE 4 1/2""  PARA CORTE DE MADERA","0"
"43","ABRASIVOS ESPECIALES, S.A DE C.V","D196","DISCO 196 CURVO P/DESBASTE DE MADERA DE 4""","0"
