id,codigo,descripcion,categoria,subcategoria,medidas,foto,proveedor
COMP23LTBYP,COMP23LTBYP,COMPRESOR 2.5 HP 23 LTS BYP,Herramienta electrica,Herramienta electrica,,COMP23LTBYP.webp,
COMP60GALBYP,COMP60GALBYP,COMPRESOR 60 GAL. 3.2 HP VERTICAL BYP,Herramienta electrica,Herramienta electrica,,COMP60GALBYP.webp,
CORDEWALT,CORDEWALT,"CORTADORA DEWALT 14"" (D28720)",Herramienta electrica,Herramienta electrica,"14""",CORDEWALT.webp,
CORDEW,CORDEW,"CORTADORA DEWALT DE 14"" 16 KGS ( 28730 )",Herramienta electrica,Herramienta electrica,"14""",CORDEW.webp,
D48-40-4515,D48-40-4515,"DISCO MILWAKEE 8""",Soldadura y abrasivos,Abrasivos / Discos,"8""",D48-40-4515.webp,
ESMDWE4887,ESMDWE4887,"ESMERILADORA RECTA DE 1 1/2"" DEWALT (DWE4887)",Herramienta electrica,Herramienta electrica,"1 1/2"" 1/2",ESMDWE4887.webp,
06013A30G1,06013A30G1,"MINI ESMERILADORA 4 1/2"" BOSCH  710 W (06013A30G1)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2",06013A30G1.webp,
DWE4315,DWE4315,"MINI ESMERILADORA 4 1/2"" DEWALT (DWE4315)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2",DWE4315.webp,
MESM9557,MESM9557,"MINI ESMERILADORA 4""1/2 MAKITA 840 W 9557 HPG",Herramienta electrica,Herramienta electrica,"4"" 1/2",MESM9557.webp,
MESMBYD4,"MESMBYD4""","MINI ESMERILADORA BLACK Y DECKER 4"" (G720-B3)",Herramienta electrica,Herramienta electrica,"4""",MESMBYD4.webp,
MESMB1375,MESMB1375,"MINI ESMERILADORA BOSCH 4 1/2""  670 W/710 W(1375)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2",MESMB1375.webp,
MESMM4010,MESMM4010,"MINI ESMERILADORA DEWALT  4 1/2"" (4010)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2",MESMM4010.webp,
MESMD4020,MESMD4020,"MINI ESMERILADORA DEWALT  4 1/2"" (4020)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2",MESMD4020.webp,
MESMD4120,MESMD4120,"MINI ESMERILADORA DEWALT 4 1/2""(4120)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2",MESMD4120.webp,
MEMM41-29510,MEMM41/29510,"MINI ESMERILADORA MAKITA 4 1/2"" ( M9510B )",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2",MEMM41-29510.webp,
MESM90B,MESM90B,"MINI ESMERILADORA MAKITA 4 1/2"" (MGA90B)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2",MESM90B.webp,
MESM4530,MESM4530,"MINI ESMERILADORA MAKITA 4 1/2""DE 720 W (GA4530)",Herramienta electrica,Herramienta electrica,"4 1/2"" 1/2",MESM4530.webp,
PPC2200HC,PPC2200HC,PLANTA GENERADOR 2200 W 6.5 HP HONDA (PPC2200HC),Herramienta electrica,Herramienta electrica,,PPC2200HC.webp,
ROTMAKITA,ROTMAKITA,"ROTOMARTILLO 5/8"" MAKITA ( M8100B ) 740W",Herramienta electrica,Herramienta electrica,"5/8"" 5/8",ROTMAKITA.webp,
SIERRADWE304,SIERRADWE304,"SIERRA SABLE DEWALT 2.9KR 3.7 KG 1 1/8"" (DWE304)",Herramienta electrica,Herramienta electrica,"1 1/8"" 1/8",SIERRADWE304.webp,
SMER70S635,SMER70S635,SOLD.INFRA  MICRO A. .035 15 KGS.,Soldadura,POR CLASIFICAR,,SMER70S635.webp,
SOLD6010,SOLD6010,"SOLDADURA 6010 1/8"" ESAB",Soldadura y abrasivos,Soldadura (consumibles),"6010 1/8"" 1/8",SOLD6010.webp,
SOLESAB70181-8,SOLESAB70181/8,"SOLDADURA 7018 1/8"" ESAB",Soldadura y abrasivos,Soldadura (consumibles),"7018 1/8"" 1/8",SOLESAB70181-8.webp,
DWD210,DWD210,"TALADRO 1/2"" DEWALT (DWD210G)",Herramienta electrica,Herramienta electrica,"1/2"" 1/2",DWD210.webp,
KC4815T,KC4815T,TALADRO ATORNILLADOR BLACK & DECKER 4.8V 1/4(KC481,Herramienta electrica,Herramienta electrica,1/4,KC4815T.webp,
TALDB113D,TALDB113D,"TALADRO ROTOMARTILLO 1/2"" BOSCH 600W 113D",Herramienta electrica,Herramienta electrica,"1/2"" 1/2",TALDB113D.webp,
TALDDEWAL,TALDDEWAL,"TALADRO ROTOMARTILLO 1/2"" DEWALT ( DCD7781D2) 20V",Herramienta electrica,Herramienta electrica,"1/2"" 1/2",TALDDEWAL.webp,
TALD-024,TALD-024,"TALADRO ROTOMARTILLO 1/2"" DEWALT 650 W ( D024)",Herramienta electrica,Herramienta electrica,"1/2"" 1/2",TALD-024.webp,
TALDMHP1640,TALDMHP1640,"TALADRO ROTOMARTILLO 1/2"" MAKITA 680W HP1640",Herramienta electrica,Herramienta electrica,"1/2"" 1/2",TALDMHP1640.webp,
TALDMHP80B,TALDMHP80B,"TALADRO ROTOMARTILLO 1/2"" MAKITA SSP MHP80B M0801G",Herramienta electrica,Herramienta electrica,"1/2"" 1/2",TALDMHP80B.webp,
M0801B,M0801B,"TALADRO ROTOMARTILLO 5/8"" MAKITRA 570 W ( M0801B)",Herramienta electrica,Herramienta electrica,"5/8"" 5/8",M0801B.webp,
TALDBOSCH,TALDBOSCH,"TALADRO ROTOMARTILLO BOSCH 1/2"" ( 123D5G0)",Herramienta electrica,Herramienta electrica,"1/2"" 1/2",TALDBOSCH.webp,
TAL-DEWALT1-2,TAL-DEWALT1/2,"TALADRO ROTOMARTILLO DEWALT 1/2"" DW508S(1655)",Herramienta electrica,Herramienta electrica,"1/2"" 1/2",TAL-DEWALT1-2.webp,
TALD-25260K,TALD-25260K,"TALADRO ROTOMARTILLO SDS PLUS 1"" (D2560K)",Herramienta electrica,Herramienta electrica,"1""",TALD-25260K.webp,
DW130,DW130,"TALADRO TIPO ESPADA 5/8"" DEWALT (DW130V)",Herramienta electrica,Herramienta electrica,"5/8"" 5/8",DW130.webp,
2888,2888,"CARDA COPA DE 4 3/4""  2888 TRENZADA",Soldadura y abrasivos,Abrasivos / Discos,"4 3/4"" 3/4",2888.webp,
2898,2898,"CARDA COPA TRENZADA 3""  (2898)",Soldadura y abrasivos,Abrasivos / Discos,"3""",2898.webp,
2899,2899,"CARDA COPA TRENZADA 3"" M14 (2899)",Soldadura y abrasivos,Abrasivos / Discos,"3""",2899.webp,
2843,2843,"CARDA COPA TRENZADA 5""  DE 5/8"" (2843)",Soldadura y abrasivos,Abrasivos / Discos,"5"" 5/8"" 5/8",2843.webp,
2885,2885,"CARDA TIPO DISCO DE 4""  2885  TRENZADA",Soldadura y abrasivos,Abrasivos / Discos,"4""",2885.webp,
D162,D162,"DISCO 162 DE 4 1/2""  PARA CORTE DE MADERA",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D162.webp,
D196,D196,"DISCO 196 CURVO P/DESBASTE DE MADERA DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4""",D196.webp,
D198,D198,"DISCO 198 PLANO P/DESBASTE DE MADERA DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4""",D198.webp,
D2004,D2004,"DISCO 2004 P/ DESB. MET. 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D2004.webp,
