"﻿""proveedor""",codigo,descripcion,categoria
ABASTECEDOR LEAL,SMER70S635,SOLD.INFRA  MICRO A. .035 15 KGS.,Soldadura
ANITA DE LOS SANTOS DE LA ROSA,ANGD,ANGEL FO.CO DERECHO,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,ANGI,ANGEL FO.CO IZQUIERDO,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,BOTONRFC,BOTON DE ROSA FO.CO,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,FALC1,FLOR DE ALCATRAZ S/ TALLO CH.,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,FLORMARG,FLOR DE MARGARITA,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,HERRCH,HERRADURA CHICA FO.FO( 15 L X 13 A ),"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,HERRGDE,HERRADURA GRANDE FO.CO.(45 L X  42 A ),"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,MEDACH,MEDALLON CHICO,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,MEDAGDE,MEDALLON GRANDE,"Herrería, forja y herrajes"
ANITA DE LOS SANTOS DE LA ROSA,MEDEGDE2,MEDALLON GRANDE (45.50 CM X 26 CM),"Herrería, forja y herrajes"
"ARTEFERRO MONTERREY, S,.A DE C.V",-383808,BUZON ROJO ARTEFERRO 25.5X40.50 ART.849/3,"Herrería, forja y herrajes"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V",RIZO014,RIZO,"Herrería, forja y herrajes"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V",RIZO011,"RIZO DE 1/4 X 1/2"" 6 X 15.5 CMS","Herrería, forja y herrajes"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V",RIZO013,"RIZO DE 1/4 X 1/2"" 7.6 X 19 CMS","Herrería, forja y herrajes"
"ESAB MEXICO, S.A DE C.V",SOLESAB15K,SOLD.ESAB  MICRO A. .035 15 KGS.,Soldadura
"ESAB MEXICO, S.A DE C.V",SOLESAB10LB,SOLD.MICRO A.TUB.  .035 (10 LB/4.54 KGS)ESAB,Soldadura
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",PROOI3M,PROTECTOR P/OIDOS 3 M (037407),Seguridad EPP
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",ALAAD,ALA DE ANGEL DERECHA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",ALAAI,ALA DE ANGEL IZQUIERDA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",ANCH,ANGEL CHICO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",BOTONR,BOTON DE ROSA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FLORDEAGAVE,FLOR DE AGAVE,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FALCCH,FLOR DE ALCATRAZ CHICO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FALC,FLOR DE ALCATRAZ GRANDE,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FCAC,FLOR DE CACTUS,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FGIR,FLOR DE GIRASOL,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FLIRIO,FLOR DE LIRIO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FROS,FLOR DE ROSA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FTUL,FLOR DE TULIPAN CERRADO Y ABIERTO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FLORROM1,FLOR ROMANA 1,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FLORROM2,FLOR ROMANA 2,"Herrería, forja y herrajes"
"FORTACERO,S.A DE C.V",VIGAH4X4(19.3KG/MTS),"VIGA ""H"" 4"" X 4"" X 6.10 MTS (19.3 KG/MTS)",Perfiles estructurales
"FORTACERO,S.A DE C.V",VIGAH6X22.4KGS.,VIGA H 6X6 DE 22.4 KG/ML A 12.20 MTS.,Perfiles estructurales
GABRIEL REYES GOMEZ,AROCONROSAFO.CO.,ARO CON ROSA DE FO.CO,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,BUZONG,BUZON GRANDE (REYES),"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,CABUME,BUZON MEDIANO REYES 27 X 22 X 8,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,BUZONR,CAJA BUZON PARA REJA,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,BUZONP,CAJA BUZON PARED,"Herrería, forja y herrajes"
