cod,nom,archivo_crudo,archivo_destino,estado,detalle
CHA800FI-AS,CHAPA MOD 800 FIJA I -AS (040668),CHAPA MOD 800 FIJA I -AS (040668).webp,CHA800FI-AS.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/CHA800FI-AS.webp
CHA321D,CHAPA PH 321 DC ABG,CHAPA PH 321 DC ABG.jpg,CHA321D.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/CHA321D.webp
"LIMABELLO14""","LIMA BASTARDA 14"" BELLOTA","LIMA BASTARDA 14"" BELLOTA.webp",LIMABELLO14.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/LIMABELLO14.webp
PISALUM600ML,PISTOLA CALAFAT. DE ALUMINIO P/600 ML. PENSYL,PISTOLA CALAFAT. DE ALUMINIO P600 ML. PENSYL.webp,PISALUM600ML.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/PISALUM600ML.webp
"SEGL8""-10DPP",SEGUETA LENOX (10DPP 810R),SEGUETA LENOX (10DPP 810R).webp,SEGL8-10DPP.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SEGL8-10DPP.webp
"SEGL8""-18DPP","SEGUETA LENOX 8"" (18DPP 818R)","SEGUETA LENOX 8"" (18DPP 818R).webp",SEGL8-18DPP.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SEGL8-18DPP.webp
"SICOL2""1/2","SIERRA CORTACIRCULOS BIMETAL 2""1/2 (40L- 30040)","SIERRA CORTACIRCULOS BIMETAL 2""12 (40L- 30040).png",SICOL2-1-2.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SICOL2-1-2.webp
SICARSISAB300,SILICON CART.SISTA ACRILICO BCO. 300ML,SILICON CART.SISTA ACRILICO BCO. 300ML.webp,SICARSISAB300.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SICARSISAB300.webp
SILDUR95GR,SILICON PENS. DURETAN BLANCO 95 GRS (029282),SILICON PENS. DURETAN BLANCO 95 GRS (029282).jpeg,SILDUR95GR.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SILDUR95GR.webp
SILSALCHD600ML,SILICON SALCHICHA DURETANO 600 ML. PENSYL (042539),SILICON SALCHICHA DURETANO 600 ML. PENSYL (042539).webp,SILSALCHD600ML.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SILSALCHD600ML.webp
ALAS,ALA DE SERAFIN,ALA DE SERAFIN.avif,ALAS.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/ALAS.webp
GALLOD,GALLO DER.,GALLO DER..avif,GALLOD.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/GALLOD.webp
HAMAPO,HOJA DE AMAPOLA,HOJA DE AMAPOLA.avif,HAMAPO.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/HAMAPO.webp
HBAN,HOJA DE BANDERA,HOJA DE BANDERA.avif,HBAN.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/HBAN.webp
HHIEDRA,HOJA DE HIEDRA,HOJA DE HIEDRA.avif,HHIEDRA.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/HHIEDRA.webp
HMAPLE,HOJA DE MAPLE,HOJA DE MAPLE.avif,HMAPLE.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/HMAPLE.webp
