cod,nom,archivo,estado,detalle
TACAV3X6,TABLERO CAS. EN V 3 X 6,TACAV3X6.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/TACAV3X6.webp
MALLACI1.50CAL.12.50,MALLA CICLON 1.50 MT. ALT./CAL.12.50/20MTS.,MALLACI1-50CAL-12-50.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/MALLACI1-50CAL-12-50.webp
MALLACI1.75CAL.12.50,MALLA CICLON 1.75 MT. ALT./CAL.12.50/20MTS.,MALLACI1-75CAL-12-50.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/MALLACI1-75CAL-12-50.webp
MPS12,MICA DE POLICAR. S-12 (8225),MPS12.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/MPS12.webp
TUINC1644,"TUBO INDUSTRIAL C-16 1"" 3/4",TUINC1644.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/TUINC1644.webp
CRIBA,CRIBA ORNAMENTAL GALV. C. 10.5 40X40X 1M.,CRIBA.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/CRIBA.webp
ZP1500,RIEL DOBLE GRANDE PARA PORTON,ZP1500.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/ZP1500.webp
SOLD410-2X3/16-6M,"SOLERA DECOR. 2"" X 3/16"" 6MT.(20410)",SOLD410-2X3-16-6M.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SOLD410-2X3-16-6M.webp
SOLD4056M,"SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20405)",SOLD4056M.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SOLD4056M.webp
SOLD4066M,"SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20406)",SOLD4066M.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SOLD4066M.webp
SOLD4106M,"SOLERA DECOR. 3/16"" X 1""1/2 6MT.(20410)",SOLD4106M.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SOLD4106M.webp
ARC17T,ARCO P/SEGUETA TUBULAR SURTEK (17T),ARC17T.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/ARC17T.webp
123254,"CARDA P/TALADRO 1/4"" X 1 3/4"" 17MM SURTEK (123254)",123254.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/123254.webp
HS3,CORTACIRCULOS BIMETAL URREA (HS3),HS3.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/HS3.webp
ESCOM12,"ESCUADRA COMBINADA DE 12"" (142073)",ESCOM12.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/ESCOM12.webp
ESME24-122281,"ESCUADRA METALICA DE 16"" X 24"" (122281)",ESME24-122281.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/ESME24-122281.webp
FIL108103,FILTRO SEPARADOR AGUA Y ACEITE SURTEK(108103),FIL108103.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/FIL108103.webp
137323,LENTE SEGURIDAD TRANSPARENTE SURTEK (137323),137323.webp,eliminado,Archivo eliminado: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/137323.webp
